env,run,tag,step,value
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1728512,552.239990234375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1736704,565.0999755859375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1744896,576.97998046875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1753088,588.6099853515625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1761280,567.75
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1769472,547.47998046875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1777664,558.2999877929688
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1785856,547.3499755859375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1794048,531.4299926757812
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1802240,560.9199829101562
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1810432,556.5
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1818624,534.0499877929688
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1826816,510.5400085449219
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1835008,518.8099975585938
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1843200,538.1500244140625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1851392,550.9600219726562
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1859584,527.2999877929688
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1867776,506.7900085449219
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1875968,526.5800170898438
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1884160,492.30999755859375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1892352,492.9800109863281
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1900544,498.80999755859375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1908736,495.4200134277344
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1916928,497.8900146484375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1925120,509.5400085449219
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1933312,525.5700073242188
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1941504,545.0900268554688
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1949696,524.97998046875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1957888,516.780029296875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1966080,496.9599914550781
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1974272,454.0199890136719
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1982464,441.7699890136719
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1990656,420.2300109863281
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1998848,412.32000732421875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2007040,418.1400146484375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2015232,448.69000244140625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2023424,450.5
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2031616,479.239990234375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2039808,464.3800048828125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2048000,493.32000732421875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2056192,533.6199951171875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2064384,518.760009765625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2072576,505.6600036621094
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2080768,503.6499938964844
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2088960,506.9100036621094
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2097152,490.7099914550781
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2105344,503.95001220703125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2113536,504.9599914550781
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2121728,511.45001220703125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2129920,491.94000244140625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2138112,523.0399780273438
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2146304,529.9000244140625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2154496,519.3499755859375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2162688,539.75
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2170880,541.8800048828125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2179072,563.22998046875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2187264,603.9099731445312
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2195456,595.4000244140625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2203648,586.5700073242188
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2211840,571.4299926757812
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2220032,575.239990234375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2228224,596.3599853515625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2236416,601.010009765625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2244608,576.8800048828125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2252800,591.5800170898438
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2260992,599.1699829101562
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2269184,609.0599975585938
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2277376,636.0800170898438
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2285568,615.8400268554688
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2293760,606.4600219726562
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2301952,625.52001953125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2310144,636.5
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2318336,634.260009765625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2326528,634.3599853515625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2334720,656.1799926757812
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2342912,680.97998046875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2351104,700.72998046875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2359296,697.8200073242188
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2367488,695.510009765625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2375680,682.9600219726562
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2383872,692.6799926757812
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2392064,710.3200073242188
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2400256,675.2100219726562
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,2408448,677.5700073242188
